,sessionID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,userID,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,cluster
222,2_39_88_24_2018-04-30 15:07:48.608581,"Mon, 30 Apr 2018 15:07:49 GMT","Tue, 01 May 2018 00:27:55 GMT","Tue, 01 May 2018 00:27:51 GMT",47.808,000000022,350.0,59.5,170.0,550.0,"Mon, 30 Apr 2018 15:08:54 GMT",True,"Tue, 01 May 2018 00:17:49 GMT",2.0
583,2_39_139_28_2018-05-07 14:38:17.789708,"Mon, 07 May 2018 14:38:18 GMT","Tue, 08 May 2018 01:15:01 GMT","Tue, 08 May 2018 01:14:53 GMT",27.683,000000061,400.0,8.0,20.0,60.0,"Mon, 07 May 2018 14:38:32 GMT",True,"Mon, 07 May 2018 15:38:18 GMT",1.0
845,2_39_88_24_2018-05-11 15:17:00.986127,"Fri, 11 May 2018 15:17:01 GMT","Sat, 12 May 2018 00:18:43 GMT","Fri, 11 May 2018 23:05:56 GMT",17.485,000000022,350.0,17.5,50.0,546.0,"Fri, 11 May 2018 15:18:23 GMT",True,"Sat, 12 May 2018 00:23:01 GMT",2.0
958,2_39_79_380_2018-05-14 13:50:25.765617,"Mon, 14 May 2018 13:50:26 GMT","Mon, 14 May 2018 23:09:45 GMT","Mon, 14 May 2018 20:43:40 GMT",11.795,000000066,400.0,8.0,20.0,60.0,"Mon, 14 May 2018 13:51:52 GMT",True,"Mon, 14 May 2018 14:50:26 GMT",1.0
1006,2_39_139_28_2018-05-15 00:06:39.142568,"Tue, 15 May 2018 00:06:39 GMT","Tue, 15 May 2018 01:13:58 GMT","Tue, 15 May 2018 00:39:01 GMT",3.076,000000061,250.0,5.0,20.0,611.0,"Tue, 15 May 2018 00:06:56 GMT",True,"Tue, 15 May 2018 10:17:39 GMT",1.0
1071,2_39_139_28_2018-05-16 00:12:52.923379,"Wed, 16 May 2018 00:12:53 GMT","Wed, 16 May 2018 00:59:35 GMT","Wed, 16 May 2018 00:59:30 GMT",4.541,000000061,250.0,5.0,20.0,83.0,"Wed, 16 May 2018 00:13:07 GMT",True,"Wed, 16 May 2018 01:35:53 GMT",1.0
1129,2_39_90_440_2018-05-16 18:24:07.579151,"Wed, 16 May 2018 18:24:08 GMT","Wed, 16 May 2018 23:14:22 GMT","Wed, 16 May 2018 23:14:13 GMT",6.178,000000068,400.0,12.0,30.0,60.0,"Wed, 16 May 2018 18:26:58 GMT",True,"Wed, 16 May 2018 19:24:08 GMT",0.0
1383,2_39_79_380_2018-05-21 13:49:23.403765,"Mon, 21 May 2018 13:49:23 GMT","Mon, 21 May 2018 23:07:11 GMT","Mon, 21 May 2018 21:10:08 GMT",16.307,000000066,400.0,16.0,40.0,490.0,"Mon, 21 May 2018 13:49:54 GMT",True,"Mon, 21 May 2018 21:59:23 GMT",1.0
1405,2_39_129_563_2018-05-21 16:07:19.292486,"Mon, 21 May 2018 16:07:19 GMT","Tue, 22 May 2018 01:22:53 GMT","Mon, 21 May 2018 20:57:16 GMT",10.492,000000069,400.0,40.0,100.0,361.0,"Mon, 21 May 2018 16:08:58 GMT",True,"Mon, 21 May 2018 22:08:19 GMT",2.0
1466,2_39_123_557_2018-05-22 15:23:09.274820,"Tue, 22 May 2018 15:23:09 GMT","Wed, 23 May 2018 00:13:19 GMT","Wed, 23 May 2018 00:13:14 GMT",22.074,000000022,350.0,28.0,80.0,542.0,"Tue, 22 May 2018 15:24:04 GMT",True,"Wed, 23 May 2018 00:25:09 GMT",2.0
